,money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometres,currency
163,2789900,Fiat,Fiorino,2016,Blanco,Nafta,3.0,Manual,1.4,Furgón,61000,pesos
164,2489900,Fiat,Qubo,2014,Rojo,Nafta/GNC,5.0,Manual,1.4,Monovolumen,118000,pesos
165,6700000,Audi,Q5,2013,Blanco,Nafta,5.0,Automática,2.0,SUV,153000,pesos
166,3890000,Chevrolet,Cruze,2014,Gris,Nafta,4.0,Automática,1.8,Sedán,31000,pesos
167,5780000,Baic,X55,2019,Negro,Nafta,5.0,Manual,1.5,SUV,38800,pesos
168,4400000,Toyota,Corolla,2016,Blanco,Nafta,4.0,Manual,1.8,Sedán,75000,pesos
169,52900,Toyota,Hilux,2022,Blanco,Diésel,4.0,Automática,TOYOTA 2.8,Pick-Up,1000,dólares
170,2158000,Chevrolet,Classic,2014,Plateado,Nafta/GNC,4.0,Manual,1.4,Sedán,63000,pesos
171,2200000,Renault,Kangoo,2013,Plateado,Nafta,3.0,Manual,1.6,Furgón,88000,pesos
172,2189900,Citroën,C4,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,79000,pesos
173,3689900,Volkswagen,Polo,2017,Dorado,Nafta,4.0,Automática,1.6,Hatchback,45000,pesos
174,17500,Mercedes-Benz,Clase A,2013,Negro,Nafta,5.0,Manual,1.6,Hatchback,115000,dólares
175,3689900,Volkswagen,Polo,2017,Dorado,Nafta,5.0,Automática,1.6,Hatchback,45000,pesos
176,4690000,Volkswagen,Vento,2016,Negro,Nafta/GNC,4.0,Automática,2.5,Sedán,172000,pesos
177,8990000,Dodge,Journey,2018,Negro,Nafta,5.0,Manual,3.6,SUV,59900,pesos
178,4890000,Chevrolet,Tracker,2017,Gris,Nafta,5.0,Automática,1.8,SUV,41000,pesos
179,3200000,Peugeot,Partner Patagónica,2015,Blanco,Nafta,4.0,Manual,1.6,Monovolumen,91000,pesos
180,2500000,Fiat,500,2012,Negro,Nafta,3.0,Manual,1.4,Hatchback,79000,pesos
181,2950000,Fiat,500,2013,Marrón,Nafta,3.0,Manual,1.4,Hatchback,81262,pesos
182,6290000,Honda,HR-V,2016,Violeta,Nafta,5.0,Automática,1.8,SUV,60000,pesos
183,3900000,Renault,Sandero Stepway,2020,Blanco,Nafta,5.0,Automática,1.6,Hatchback,62850,pesos
184,7880000,Hyundai,Santa Fe,2017,Gris,Nafta,5.0,Manual,2.4,SUV,90000,pesos
185,10900000,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5.0,Automática,1.4,SUV,48711,pesos
186,1750000,Ford,Ka,2013,Gris,Nafta,3.0,Manual,1.0,Hatchback,70000,pesos
187,4250000,Renault,Duster,2017,Blanco,Nafta,5.0,Manual,1.6,SUV,60000,pesos
